trigram	n
run creek crosses	1
running water road	1
rural gravel road	1
rush hour traffic	1
santa cruz river	1
santa fe avenue	1
santa fe river	1
san tan valley	1
scar rural roads	1
school board meeting	1
school soccer fields	1
schultz fire burn	1
scioto county ohio	1
se 40th street	1
seguin campsites downstream	1
shannon county resident	1
sheriff wildlife officer	1
shiloh ridge golf	1
shinn spring road	1
short distance downstream	1
sierrita mountains reached	1
silver lake park	1
southeast scioto county	1
south norwalk road	1
south norwood drive	1
sports utility vehicle	1
standing water hydroplaned	1
stony clove creek	1
storm drain family	1
storm hermine produced	1
storms produced heavy	1
strong current carried	1
struck standing water	1
stump hall road	1
submerged storm drain	1
submerged vehicle reports	1
subsequently swept downstream	1
suffered heart attack	1
supervisor found person	1
surrounding victim's death	1
susua alta carrying	1
sweeping campers cars	1
swept 50 yards	1
swept miles downstream	1
swiftly flowing water	1
swift moving creek	1
swift water rescuers	1
swollen creek reports	1
swollen guadalupe river	1
swollen hanakapiai stream	1
swollen pennypack creek	1
tan valley home	1
thompson river witnesses	1
throwing 3 firefighters	1
thunderstorms produced heavy	1
time rescuers responded	1
township thursday morning	1
trammel davis road	1
treatment plant supervisor	1
tropical storm hermine	1
tropical storm irene	1
truck ford f150	1
truck found wrapped	1
upper alsup road	1
u.s 64 west	1
u.s route 40	1
vehicle hydroplaned ran	1
vehicle lost control	1
vehicle overturned leaving	1
vehicles drove directly	1
vehicle struck standing	1
victim drowned inside	1
victim suffered heart	1
victim trapped inside	1
waldo canyon burn	1
washed downstream drowning	1
wasilla tuesday morning	1
water covered gravel	1
water crossing approximately	1
water floated downstream	1
water rescue team	1
water rose quickly	1
waters highway 265	1
waters quickly rose	1
waters vehicle stalled	1
water treatment plant	1
western el paso	1
western pueblo county	1
west parker road	1
west yegua creek	1
white oak road	1
white rock creek	1
wide 9 foot	1
widespread flash flooding	1
wildlife officer house	1
witness report water	1
woman drove straight	1
worker operating backhoe	1
yards downstream car	1
yards downstream upside	1
zion national park	1
